OSMPTrailsOSMPOBJECTID,OSMPTrailsOSMPOWNER,OSMPTrailsOSMPBICYCLES,OSMPTrailsOSMPDISPLAY,OSMPTrailsOSMPTRAILTYPE,OSMPTrailsOSMPDATEFROM,OSMPTrailsOSMPDATETO,OSMPTrailsOSMPSEGMENTID,OSMPTrailsOSMPHORSES,OSMPTrailsOSMPRID,OSMPTrailsOSMPTRLID,OSMPTrailsOSMPMILEAGE,OSMPTrailsOSMPMEASUREDFEET,OSMPTrailsOSMPTRAILNAME,OSMPTrailsOSMPGlobalID,OSMPTrailsOSMPDIFFICULTY,OSMPTrailsOSMPDOGS,OSMPTrailsOSMPDOGREGGEN,OSMPTrailsOSMPDOGREGDESC,OSMPTrailsOSMPEBIKES,SHAPESTLength,OSMPTrailClosuresOBJECTID,OSMPTrailClosuresRID,OSMPTrailClosuresCLOSUREDURATION,OSMPTrailClosuresWEBLINK,OSMPTrailClosuresCLOSUREAREA,OSMPTrailClosuresTRAILSTATUS,OSMPTrailClosuresCLOSUREREASON,OSMPTrailClosuresLOCATIONDESCRIPTION,OSMPTrailClosuresCONTACT,OSMPTrailClosuresCOMMENTS,OSMPTrailClosuresGLOBALID,OSMPTrailClosuresSEGMENTID
2669,OSMP,No,Yes,Hiking Trail,2022/06/05 00:00:00+00,2099/12/31 00:00:00+00,289-334-328,Yes,2052,289,1.17,6466,Mount Sanitas,{B2FFBAF8-5CA4-4DDE-9EF5-B83CCF6C50BB},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",No,6180.070838,2441,2052,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{3FFDA1D3-AF1A-46C7-87E2-4A4707D27043},289-334-328
2671,OSMP,Yes,Yes,Multi-Use Trail,2023/05/22 00:00:00+00,2099/12/31 00:00:00+00,518-678-538,Yes,2214,518,0.802,4200,IBM Connector,{A9DFFC63-5D1B-4392-81C0-949DFD8392E4},Easy,Yes,LR,Leash Required,Yes,4236.658499,1604,2214,Until Further Notice,,,Open,Construction,,https://bouldercolorado.gov/services/osmp-closures,,{13A86ADE-5F3C-42DF-9BB4-2068A290C8E4},518-678-538
2672,OSMP,Yes,Yes,Multi-Use Trail,2023/05/21 00:00:00+00,2099/12/31 00:00:00+00,506-550-678,Yes,2212,506,0.554,2909,Cottontail,{7945E318-34F8-4D35-A4B9-CBC719FEE03E},Easy,Yes,LR,Leash Required,Yes,2928.729817,1082,2212,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{AF6F3A35-0B7B-40B5-97B4-7E32A5F17791},506-550-678
2673,OSMP,Yes,Yes,Multi-Use Trail,2023/05/21 00:00:00+00,2099/12/31 00:00:00+00,506-678-551,Yes,2213,506,0.235,1223,Cottontail,{C6C184B2-983C-49F7-A600-4BDA8E89E07E},Easy,Yes,LR,Leash Required,Yes,1242.271328,1083,2213,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{E20E1606-73D2-4AA7-B6CD-1D7A3222D9D0},506-678-551
2675,OSMP,No,Yes,Hiking Trail,2021/07/28 00:00:00+00,2099/12/31 00:00:00+00,228-147-247,Yes,1979,228,0.071,439,Green Mountain West Ridge,{16900822-9700-4D25-8BA8-280FCCA71F61},Moderate,Yes,LVS,On-Corridor Voice and Sight,No,377.1372451,1085,1979,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{2BE6F52A-EA3B-434B-B169-CEC9C646747B},228-147-247
2676,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,224-136-137,No,1540,224,0.024,-9999,Bear Peak,{1BF4448A-A4F8-4DB4-8316-2D312066D912},Difficult,Yes,LVS,On-Corridor Voice and Sight,No,127.8494046,1086,1540,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{7853BF2B-BAD4-4C25-B392-5F25322004BC},224-136-137
2679,OSMP,No,Yes,Hiking Trail,2021/07/28 00:00:00+00,2099/12/31 00:00:00+00,228-247-679,No,1980,228,0.035,210,Green Mountain West Ridge,{1C46C186-2830-42FB-81A7-D4CE896DFEA8},Moderate,Yes,LVS,On-Corridor Voice and Sight,No,182.5911229,1089,1980,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{290287BC-9B31-4BDC-B3A3-C0C61D57E5AA},228-247-679
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,1099,2166,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,,{183C2D21-9BE2-4F0C-AB76-59FCFA58B6BE},417-661-662
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,1100,2167,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,,{0B2A411C-DC03-4C0E-9661-000FCC07E552},417-662-663
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,1101,2168,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,,{D404B829-0FDA-4030-9805-B932683C5492},417-663-664
