object_id,owner,bicycles,display,trail_type,date_from,date_to,segment_id,horses,rid,trail_id,length_miles,length_feet,trail_name_x,global_id,difficulty,dogs,dog_regulation_general,dog_regulation_description,ebikes,geometry_length,dog_access,trail_name_y,latitude,longitude
2669,OSMP,No,Yes,Hiking Trail,2022/06/05 00:00:00+00,2099/12/31 00:00:00+00,289-334-328,Yes,2052,289,1.17,6466.0,Mount Sanitas,{B2FFBAF8-5CA4-4DDE-9EF5-B83CCF6C50BB},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",No,6180.070838,off_leash,Mount Sanitas,40.034240911930176,-105.30544377586854
2669,OSMP,No,Yes,Hiking Trail,2022/06/05 00:00:00+00,2099/12/31 00:00:00+00,289-334-328,Yes,2052,289,1.17,6466.0,Mount Sanitas,{B2FFBAF8-5CA4-4DDE-9EF5-B83CCF6C50BB},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",No,6180.070838,off_leash,Mount Sanitas,40.02062283043548,-105.2962731424477
2669,OSMP,No,Yes,Hiking Trail,2022/06/05 00:00:00+00,2099/12/31 00:00:00+00,289-334-328,Yes,2052,289,1.17,6466.0,Mount Sanitas,{B2FFBAF8-5CA4-4DDE-9EF5-B83CCF6C50BB},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",No,6180.070838,off_leash,Mount Sanitas,40.02156131426221,-105.29656985034717
2669,OSMP,No,Yes,Hiking Trail,2022/06/05 00:00:00+00,2099/12/31 00:00:00+00,289-334-328,Yes,2052,289,1.17,6466.0,Mount Sanitas,{B2FFBAF8-5CA4-4DDE-9EF5-B83CCF6C50BB},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",No,6180.070838,off_leash,Mount Sanitas,40.02098584425982,-105.29625799327914
2671,OSMP,Yes,Yes,Multi-Use Trail,2023/05/22 00:00:00+00,2099/12/31 00:00:00+00,518-678-538,Yes,2214,518,0.802,4200.0,IBM Connector,{A9DFFC63-5D1B-4392-81C0-949DFD8392E4},Easy,Yes,LR,Leash Required,Yes,4236.658499,leash_required,IBM Connector,40.07718597792424,-105.19775327692247
2672,OSMP,Yes,Yes,Multi-Use Trail,2023/05/21 00:00:00+00,2099/12/31 00:00:00+00,506-550-678,Yes,2212,506,0.554,2909.0,Cottontail,{7945E318-34F8-4D35-A4B9-CBC719FEE03E},Easy,Yes,LR,Leash Required,Yes,2928.729817,leash_required,Cottontail,40.07606806283449,-105.188245260507
2672,OSMP,Yes,Yes,Multi-Use Trail,2023/05/21 00:00:00+00,2099/12/31 00:00:00+00,506-550-678,Yes,2212,506,0.554,2909.0,Cottontail,{7945E318-34F8-4D35-A4B9-CBC719FEE03E},Easy,Yes,LR,Leash Required,Yes,2928.729817,leash_required,Cottontail,40.07718597792424,-105.19775327692247
2672,OSMP,Yes,Yes,Multi-Use Trail,2023/05/21 00:00:00+00,2099/12/31 00:00:00+00,506-550-678,Yes,2212,506,0.554,2909.0,Cottontail,{7945E318-34F8-4D35-A4B9-CBC719FEE03E},Easy,Yes,LR,Leash Required,Yes,2928.729817,leash_required,Cottontail,40.07280871829369,-105.17865890721656
2672,OSMP,Yes,Yes,Multi-Use Trail,2023/05/21 00:00:00+00,2099/12/31 00:00:00+00,506-550-678,Yes,2212,506,0.554,2909.0,Cottontail,{7945E318-34F8-4D35-A4B9-CBC719FEE03E},Easy,Yes,LR,Leash Required,Yes,2928.729817,leash_required,Cottontail,40.08239017395566,-105.17851184805262
2673,OSMP,Yes,Yes,Multi-Use Trail,2023/05/21 00:00:00+00,2099/12/31 00:00:00+00,506-678-551,Yes,2213,506,0.235,1223.0,Cottontail,{C6C184B2-983C-49F7-A600-4BDA8E89E07E},Easy,Yes,LR,Leash Required,Yes,1242.271328,leash_required,Cottontail,40.07606806283449,-105.188245260507
